date,contract,contract_m,open,high,low,close,fluctuation,fluctuation_percent,volume,settlement,open_interest,last_best_buy,last_bset_sell,h_high,h_low
2014-12-02,TX,201412,9092,9098,9001,9031,-88,-0.97%,145718,9030,58649,9031,9032,9527,7835
2014-12-03,TX,201412,9051,9215,9035,9211,181,2.00%,149036,9209,62155,9211,9213,9527,7835
2014-12-04,TX,201412,9213,9266,9201,9220,11,0.12%,97499,9220,61423,9220,9222,9527,7835
2014-12-05,TX,201412,9203,9231,9182,9216,-4,-0.04%,87093,9214,61589,9215,9216,9527,7835
2014-12-08,TX,201412,9264,9265,9168,9185,-29,-0.31%,105218,9186,62016,9184,9185,9527,7835
2014-12-09,TX,201412,9142,9174,9121,9132,-54,-0.59%,92634,9131,59818,9131,9132,9527,7835
2014-12-10,TX,201412,9092,9136,9003,9046,-85,-0.93%,165103,9046,59488,9046,9047,9527,7835
2014-12-11,TX,201412,8976,9048,8958,9010,-36,-0.40%,116039,9009,56812,9009,9010,9527,7835
2014-12-12,TX,201412,9023,9069,9003,9006,-3,-0.03%,98839,9005,52753,9005,9007,9527,7835
2014-12-15,TX,201412,8958,9038,8925,9036,31,0.34%,125072,9033,44585,9035,9037,9527,7835
2014-12-16,TX,201412,8971,9041,8963,8981,-52,-0.58%,122633,8979,34859,8980,8981,9527,7835
2014-12-17,TX,201412,8970,8985,8834,8844,-135,-1.50%,81915,0,25078,8843,8844,9527,7835
2014-12-18,TX,201501,8902,8927,8857,8857,-3,-0.03%,101962,8858,59456,8857,8858,9265,8853
2014-12-19,TX,201501,8962,9040,8958,9019,161,1.82%,148633,9017,57614,9018,9019,9265,8853
2014-12-22,TX,201501,9031,9100,9023,9096,79,0.88%,102111,9094,62762,9094,9096,9265,8853
2014-12-23,TX,201501,9134,9140,9097,9115,21,0.23%,69691,9114,61247,9115,9116,9265,8853
2014-12-24,TX,201501,9120,9183,9103,9176,62,0.68%,93125,9176,61886,9176,9177,9265,8853
2014-12-25,TX,201501,9171,9195,9162,9183,7,0.08%,44950,9181,61634,9182,9183,9265,8853
2014-12-26,TX,201501,9178,9230,9173,9226,45,0.49%,73031,9227,62601,9226,9227,9265,8853
2014-12-27,TX,201501,9235,9257,9226,9256,29,0.31%,27720,9255,62275,9256,9257,9265,8853
2014-12-29,TX,201501,9245,9336,9241,9314,59,0.64%,98576,9309,65073,9312,9314,9336,8853
2014-12-30,TX,201501,9320,9343,9268,9286,-23,-0.25%,92786,9286,63036,9286,9287,9343,8853
2014-12-31,TX,201501,9286,9303,9252,9283,-3,-0.03%,75117,9281,62222,9283,9284,9343,8853
