date,high,low,close,fluctuation,最近N1个交易日的最高点,最近N2个交易日的最低点,当天的仓位,资金指数
2017-04-10,9892,9843,9876,15,9980.0,9555.0,1.0,1.4593739886479387e+58
2017-04-11,9895,9807,9816,-59,9980.0,9643.0,1.0,-8.464369134158045e+59
2017-04-12,9830,9776,9814,-3,9980.0,9711.0,1.0,1.692873826831609e+60
2017-04-13,9869,9792,9846,32,9980.0,9715.0,1.0,5.586483628544309e+61
2017-04-14,9808,9711,9716,-129,9980.0,9711.0,1.0,-7.150699044536716e+63
2017-04-17,9754,9680,9722,6,9980.0,9680.0,1.0,-5.0054893311757013e+64
2017-04-18,9772,9721,9737,16,9980.0,9680.0,1.0,-8.509331862998693e+65
2017-04-19,9707,9632,9638,-98,9980.0,9632.0,1.0,8.254051907108732e+67
2017-04-20,9640,9584,9615,-8,9968.0,9584.0,0.0,8.254051907108732e+67
2017-04-21,9706,9655,9697,82,9968.0,9584.0,0.0,8.254051907108732e+67
2017-04-24,9766,9684,9705,7,9968.0,9584.0,0.0,8.254051907108732e+67
2017-04-25,9827,9728,9813,107,9968.0,9584.0,0.0,8.254051907108732e+67
2017-04-26,9871,9826,9841,27,9968.0,9584.0,0.0,8.254051907108732e+67
2017-04-27,9850,9808,9839,-3,9968.0,9584.0,0.0,8.254051907108732e+67
2017-04-28,9884,9834,9857,19,9968.0,9584.0,0.0,8.254051907108732e+67
2017-05-02,9950,9897,9932,76,9968.0,9584.0,0.0,8.254051907108732e+67
2017-05-03,9966,9934,9936,6,9968.0,9584.0,0.0,8.254051907108732e+67
2017-05-04,9965,9918,9959,22,9966.0,9584.0,0.0,8.254051907108732e+67
2017-05-05,9951,9879,9889,-70,9966.0,9584.0,0.0,8.254051907108732e+67
2017-05-08,9959,9895,9921,35,9966.0,9584.0,0.0,8.254051907108732e+67
2017-05-09,9994,9898,9904,-17,9994.0,9584.0,0.0,8.254051907108732e+67
2017-05-10,9959,9918,9947,45,9994.0,9584.0,0.0,8.254051907108732e+67
2017-05-11,9997,9946,9987,39,9997.0,9584.0,0.0,8.254051907108732e+67
2017-05-12,9996,9966,9981,-7,9997.0,9584.0,0.0,8.254051907108732e+67
2017-05-15,10031,9975,10028,47,10031.0,9584.0,0.0,8.254051907108732e+67
2017-05-16,10045,10020,10045,20,10045.0,9584.0,1.0,1.733350900492834e+69
2017-05-17,10026,10007,10021,0,10045.0,9584.0,1.0,1.733350900492834e+69
2017-05-18,9995,9895,9895,-84,10045.0,9584.0,1.0,-1.438681247409052e+71
2017-05-19,9968,9922,9962,11,10045.0,9655.0,1.0,-1.7264174968908624e+72
2017-05-22,9966,9930,9960,28,10045.0,9684.0,1.0,-5.0066107409835006e+73
2017-05-23,9990,9966,9990,16,10045.0,9728.0,1.0,-8.511238259671952e+74
2017-05-24,10008,9989,10007,13,10045.0,9808.0,1.0,-1.1915733563540732e+76
2017-05-25,10042,10021,10041,21,10045.0,9808.0,1.0,-2.6214613839789614e+77
2017-05-26,10137,10111,10132,25,10137.0,9834.0,1.0,-6.815799598345299e+78
2017-05-31,10098,10082,10094,1,10137.0,9879.0,1.0,-1.3631599196690598e+79
2017-06-01,10040,10004,10025,-4,10137.0,9879.0,1.0,4.08947975900718e+79
2017-06-02,10100,10065,10098,28,10137.0,9879.0,1.0,1.1859491301120821e+81
2017-06-03,10153,10130,10152,18,10153.0,9879.0,1.0,2.2533033472129558e+82
2017-06-05,10207,10115,10200,44,10207.0,9895.0,1.0,1.0139865062458303e+84
2017-06-06,10210,10196,10200,-2,10210.0,9895.0,1.0,-1.0139865062458303e+84
2017-06-07,10190,10170,10181,-4,10210.0,9895.0,1.0,3.0419595187374905e+84
2017-06-08,10200,10182,10198,7,10210.0,9895.0,1.0,2.4335676149899924e+85
2017-06-09,10230,10211,10230,18,10230.0,9895.0,1.0,4.623778468480986e+86
2017-06-12,10210,10106,10137,-54,10230.0,9895.0,1.0,-2.4506025882949226e+88
2017-06-13,10117,10083,10102,-16,10230.0,9895.0,1.0,3.675903882442384e+89
2017-06-14,10158,10130,10158,22,10230.0,9895.0,1.0,8.454578929617482e+90
2017-06-15,10080,10049,10061,-1,10230.0,9895.0,1.0,0.0
2017-06-16,10070,10036,10066,-6,10230.0,9922.0,1.0,-0.0
2017-06-19,10152,10134,10149,3,10230.0,9930.0,1.0,-0.0
2017-06-20,10284,10242,10283,43,10284.0,9966.0,1.0,-0.0
2017-06-21,10334,10297,10300,-22,10334.0,9989.0,1.0,0.0
2017-06-22,10204,10157,10194,18,10334.0,10004.0,1.0,0.0
2017-06-23,10231,10216,10220,-11,10334.0,10004.0,1.0,-0.0
2017-06-26,10216,10182,10195,-20,10334.0,10004.0,1.0,0.0
2017-06-27,10423,10375,10394,13,10423.0,10004.0,1.0,0.0
2017-06-28,10362,10285,10297,-71,10423.0,10036.0,1.0,-0.0
2017-06-29,10317,10249,10317,56,10423.0,10036.0,1.0,-0.0
2017-06-30,10301,10196,10223,-72,10423.0,10036.0,1.0,0.0
2017-07-03,10280,10241,10257,5,10423.0,10036.0,1.0,0.0
2017-07-04,10319,10290,10302,14,10423.0,10036.0,1.0,0.0
2017-07-05,10228,10209,10220,5,10423.0,10036.0,1.0,0.0
2017-07-06,10322,10288,10321,22,10423.0,10036.0,1.0,0.0
2017-07-07,10265,10214,10217,-50,10423.0,10036.0,1.0,-0.0
2017-07-10,10225,10195,10224,22,10423.0,10036.0,1.0,-0.0
2017-07-11,10226,10192,10222,13,10423.0,10036.0,1.0,-0.0
2017-07-12,10355,10315,10352,10,10423.0,10036.0,1.0,-0.0
2017-07-13,10390,10321,10387,48,10423.0,10036.0,1.0,-0.0
2017-07-14,10419,10388,10418,-1,10423.0,10134.0,1.0,-0.0
2017-07-17,10446,10397,10445,42,10446.0,10157.0,1.0,-0.0
2017-07-18,10440,10423,10431,-4,10446.0,10157.0,1.0,0.0
2017-07-19,10474,10438,10474,12,10474.0,10157.0,1.0,0.0
2017-07-20,10425,10384,10424,40,10474.0,10182.0,1.0,0.0
2017-07-21,10396,10372,10380,-11,10474.0,10182.0,1.0,-0.0
2017-07-24,10328,10287,10308,-20,10474.0,10192.0,1.0,0.0
2017-07-25,10374,10351,10363,3,10474.0,10192.0,1.0,0.0
2017-07-26,10385,10356,10385,23,10474.0,10192.0,1.0,0.0
2017-07-27,10355,10328,10354,24,10474.0,10192.0,1.0,0.0
2017-07-28,10466,10390,10422,-25,10474.0,10192.0,1.0,-0.0
2017-07-31,10350,10320,10348,9,10474.0,10192.0,1.0,-0.0
2017-08-01,10373,10342,10348,-7,10474.0,10192.0,1.0,0.0
2017-08-02,10394,10371,10393,26,10474.0,10192.0,1.0,0.0
2017-08-03,10470,10426,10451,-2,10474.0,10192.0,1.0,-0.0
2017-08-04,10416,10396,10398,-9,10474.0,10192.0,1.0,0.0
2017-08-07,10455,10434,10455,16,10474.0,10192.0,1.0,0.0
2017-08-08,10565,10522,10564,34,10565.0,10287.0,1.0,0.0
2017-08-09,10544,10508,10508,-17,10565.0,10287.0,1.0,-0.0
2017-08-10,10464,10429,10462,7,10565.0,10287.0,1.0,-0.0
2017-08-11,10334,10224,10225,-105,10565.0,10224.0,1.0,0.0
2017-08-14,10320,10280,10317,16,10565.0,10224.0,0.0,0.0
2017-08-15,10290,10233,10290,61,10565.0,10224.0,0.0,0.0
2017-08-16,10311,10264,10278,-30,10565.0,10224.0,0.0,0.0
2017-08-17,10260,10231,10250,27,10565.0,10224.0,0.0,0.0
